OperandA, OperandB, Result, Exception
          0,          0,         -3,0
          0,          0,         35,0
          0,          0,         -8,0
          0,          0,          0,0
          0,          0,          0,0
          0,          0,          2,0
          0,          0,         -8,0
          0,          0,         32,0
          0,          0,       -128,0
          0,          0,        512,0
          0,          0,      -2048,0
          0,          0,       8192,0
          0,          0,     -32768,0
          0,          0,     131072,0
          0,          0,    -524288,0
          0,          0,    2097152,0
          0,          0,   -8388608,0
          0,          0,   33554432,0
          0,          0, -134217728,0
          0,          0,  536870912,0
          0,          0,-2147483648,0
          0,          0,          0,1
          0,          0,          0,1
          0,          0,          0,1
          0,          0,          0,1
          0,          0,          0,1
          0,          0,-2147483648,0
          0,          0,       9537,0
          0,          0,-2147483647,0
          0,          0,          0,0
          0,          0,          0,0
          0,          0,          0,0
          0,          0,          1,0
